pid,title,clapCount,commentCount,playCount,favoriteCount,pubDate,duration,eid
64259df8179eec5331c4aecc,19.暑期档崩盘？评《抓娃娃》《刺猬》等9部电影,522,628,58002,269,2024-09-01T16:00:00.000Z,9008,66d1eda0e3b474d09ad77c4f
64259df8179eec5331c4aecc,18.戛纳与美国电影的文艺复兴,949,700,82257,563,2024-06-16T16:00:00.000Z,21781,666eb8edb6a84127291c8997
64259df8179eec5331c4aecc,17.用129本书，构建电影知识体系,596,489,56545,1117,2024-04-30T16:00:00.000Z,15187,6630dcb0485813145085e429
64259df8179eec5331c4aecc,16.维伦纽瓦和《沙丘2》：电影的第四条出路,1040,499,79370,502,2024-04-15T16:00:00.000Z,17407,661d0d0c48c40e2fb074e66e
64259df8179eec5331c4aecc,15.奥斯卡与百年美国,1584,1141,145709,1252,2024-03-15T16:00:00.000Z,21748,65f404556764957079826f89
64259df8179eec5331c4aecc,14.国产喜剧片二十年：贾玲、宁浩、陈思诚、开心麻花……,1916,851,130984,1138,2024-02-13T16:00:00.000Z,13594,65cb5941b6c9256aeed08304
64259df8179eec5331c4aecc,13.影史排行榜的诞生与颠覆,1938,774,123848,1167,2024-01-18T16:00:00.000Z,15418,65a8e1448a47fd30c0970889
64259df8179eec5331c4aecc,12.亚洲影帝梁朝伟,338,355,46201,257,2024-01-02T16:00:00.000Z,6499,6593ed4c278f9bb30803c78d
64259df8179eec5331c4aecc,11.金马六十年，大陆与台湾,968,483,86726,786,2023-12-06T16:00:00.000Z,11006,6570542354f87fe00fbaf5ed
64259df8179eec5331c4aecc,10.论侯孝贤,816,386,83295,897,2023-11-14T16:00:00.000Z,10073,65535609c9e7cfe025a2fdf4
64259df8179eec5331c4aecc,9.《河边的错误》的改编策略，《坠落的审判》与女性主义,492,471,47864,287,2023-10-26T16:00:00.000Z,4548,653a253b132c261b3a645bf3
64259df8179eec5331c4aecc,8. 踩到红线的《坚如磐石》，怎么拍“官商黑”生态？,598,343,50945,249,2023-10-05T16:00:00.000Z,5160,651e770b0432a31578f16cf8
64259df8179eec5331c4aecc,7. 三大电影节和中国：40年正史和30年前史,708,319,53664,426,2023-09-18T16:00:00.000Z,9046,6507b65d9687557971915070
64259df8179eec5331c4aecc,6. 看《奥本海默》，诺兰已是这个平庸年代的上限,586,322,76435,400,2023-08-30T16:00:00.000Z,6670,64eea74580c9ec4c5fa6ddae
64259df8179eec5331c4aecc,5. 十年最佳华语片，一个大陆导演的终极表达,533,364,44175,306,2023-08-16T00:30:00.000Z,4419,64db50433fa4090b74500c9d
